Size,Selection,Merge,Counting
100,0.00925,0.106458,1.82321
200,0.02225,0.25925,1.85783
300,0.045041,0.235625,2.14538
400,0.074417,0.40225,1.27554
500,0.141125,0.261625,1.30371
600,0.07575,0.19525,0.484583
700,0.090333,0.196917,1.50358
800,0.327958,0.63425,1.16546
900,0.344667,0.577208,1.07337
1000,0.420958,0.629875,1.04979
1100,0.501959,0.648625,0.906208
1200,0.496125,0.61175,0.903833
1300,0.568125,0.668792,0.905542
1400,0.614833,0.577625,0.858834
1500,0.650042,0.613541,0.790167
1600,0.726375,0.657042,0.822875
1700,0.738041,0.6075,0.784917
1800,0.814625,0.594292,0.632292
1900,0.910166,0.666833,0.768833
2000,0.925417,0.64175,0.662
2100,1.01779,0.711375,0.666375
2200,1.07304,0.698416,0.663417
2300,1.12683,0.736875,0.662542
2400,1.10896,0.711792,0.5865
2500,1.24108,0.756333,0.623291
2600,1.34054,0.79875,0.572875
2700,1.36671,0.776041,0.622208
2800,1.46429,0.800917,0.575209
2900,1.49937,0.792375,0.57475
3000,1.60013,0.799917,0.604958
3100,1.64667,0.805,0.626542
3200,1.74996,0.817416,0.548542
3300,1.79408,0.80775,0.583834
3400,1.86754,0.8125,0.789208
3500,1.9555,0.813667,0.597834
3600,2.04521,0.813458,0.727167
3700,2.22275,0.928375,0.67975
3800,2.27854,0.837625,0.630375
3900,2.736,1.00833,0.682959
4000,2.54992,0.893125,0.698333
4100,2.46604,1.07675,0.706708
4200,2.62458,0.922208,0.629042
4300,2.75217,1.12233,0.616875
4400,2.73529,0.927917,0.462
4500,2.85783,0.949958,0.45925
4600,2.97954,1.05542,0.618292
4700,3.34342,1.03588,0.538208
4800,3.24554,1.03221,0.466166
4900,3.37875,1.04808,0.458958
5000,3.63163,1.07533,0.509542
5100,3.6575,1.08421,0.556416
5200,3.81367,1.13787,0.475333
5300,3.98075,1.14054,0.4745
5400,4.08929,1.15008,0.462875
5500,4.27617,1.17275,0.477625
5600,4.47196,1.23554,0.540042
5700,4.56538,1.22158,0.595667
5800,4.78475,1.23717,0.472083
5900,4.87025,1.25887,0.482875
6000,5.05567,1.24254,0.466125
6100,5.21971,1.25742,0.467417
6200,5.42837,1.30229,0.479459
6300,5.57175,1.31142,0.541291
6400,5.78437,1.32271,0.4855
6500,5.92546,1.34133,0.470083
6600,6.17617,1.37054,0.49925
6700,6.28058,1.37725,0.47075
6800,6.47021,1.3895,0.520041
6900,6.65842,1.40725,0.485542
7000,6.85425,1.42437,0.474125
7100,7.03258,1.44008,0.473708
7200,7.26183,1.46946,0.477208
7300,7.42858,1.49421,0.4775
7400,7.65617,1.51783,0.478958
7500,7.83783,1.51304,0.50875
7600,8.04429,1.52504,0.478625
7700,8.2725,1.54233,0.47875
7800,8.45704,1.56604,0.494916
7900,8.70654,1.57242,0.481542
8000,8.92379,1.59221,0.481709
8100,9.12063,1.62275,0.482417
8200,9.60283,1.68213,0.506375
8300,9.57804,1.7205,0.510333
8400,9.79825,1.72758,0.498541
8500,10.0209,1.78396,0.489917
8600,10.2607,1.79621,0.488958
8700,10.4962,1.85258,0.488166
8800,10.7204,1.87092,0.487917
8900,10.981,1.88504,0.489833
9000,11.235,1.939,0.49475
9100,11.4765,1.94296,0.491083
9200,11.7447,1.95783,0.492167
9300,11.9836,1.99988,0.501917
9400,12.2129,2.01512,0.507375
9500,12.4741,2.03629,0.521709
9600,12.7468,2.03871,0.493875
9700,13.0488,2.05863,0.49525
9800,13.3067,2.07825,0.499084
9900,13.579,2.09929,0.503417
10000,13.8616,2.11129,0.5005
